Date,Pages,Words
12-06-2015,63,17661
13-06-2015,65,17859
14-06-2015,65,17859
15-06-2015,65,17859
16-06-2015,65,17859
17-06-2015,65,17859
18-06-2015,65,17859
19-06-2015,65,17859
20-06-2015,65,17866
21-06-2015,77,19405
22-06-2015,77,19405
23-06-2015,77,19405
24-06-2015,77,19405
25-06-2015,77,19405
26-06-2015,77,19405
27-06-2015,77,19405
28-06-2015,77,19405
29-06-2015,77,19405
30-06-2015,77,19405
01-07-2015,77,19405
02-07-2015,77,19405
03-07-2015,77,19405
04-07-2015,77,19405
05-07-2015,77,19405
06-07-2015,77,19405
07-07-2015,77,19405
08-07-2015,77,19405
09-07-2015,77,19405
10-07-2015,77,19405
11-07-2015,77,19405
12-07-2015,77,19405
13-07-2015,77,19405
14-07-2015,77,19405
15-07-2015,77,19405
16-07-2015,77,19405
17-07-2015,77,19405
18-07-2015,77,19405
19-07-2015,77,19405
20-07-2015,77,19405
21-07-2015,83,21958
22-07-2015,87,23704
23-07-2015,97,25295
24-07-2015,107,26787
25-07-2015,107,26787
26-07-2015,107,26787
27-07-2015,107,26787
28-07-2015,107,26787
29-07-2015,107,26787
30-07-2015,115,29350
31-07-2015,119,28339
01-08-2015,121,31013
02-08-2015,121,31013
03-08-2015,121,31013
04-08-2015,121,31013
05-08-2015,132,34856
06-08-2015,132,35137
07-08-2015,134,35282
08-08-2015,134,35282
09-08-2015,136,35901
10-08-2015,136,35901
11-08-2015,136,36037
12-08-2015,136,36037
13-08-2015,136,36037
14-08-2015,136,36264
15-08-2015,136,36264
16-08-2015,136,36250
17-08-2015,136,36250
18-08-2015,138,36685
19-08-2015,140,37469
20-08-2015,141,37673
21-08-2015,141,38110
22-08-2015,141,38110
23-08-2015,141,38619
24-08-2015,145,39230
25-08-2015,149,39737
26-08-2015,149,40704
27-08-2015,155,41770
28-08-2015,155,42400
29-08-2015,149,42793
30-08-2015,151,43385
31-08-2015,153,44038
01-09-2015,153,44682
02-09-2015,153,45086
03-09-2015,155,45808
04-09-2015,155,45904
05-09-2015,155,45904
06-09-2015,155,45904
07-09-2015,158,46856
08-09-2015,160,47532
09-09-2015,158,47725
10-09-2015,160,48844
11-09-2015,164,49386
12-09-2015,168,50647
13-09-2015,168,50647
14-09-2015,170,51062
15-09-2015,175,53226
16-09-2015,175,53340
17-09-2015,183,54017
18-09-2015,181,54206
19-09-2015,185,55533
20-09-2015,187,56604
21-09-2015,187,57372
22-09-2015,187,58016
23-09-2015,189,58745
24-09-2015,189,58746
25-09-2015,191,58483
26-09-2015,197,59347
27-09-2015,199,60705
28-09-2015,205,63296
29-09-2015,207,63823
30-09-2015,213,65191
01-10-2015,213,65832
02-10-2015,213,65832
03-10-2015,213,65832
04-10-2015,213,66478
05-10-2015,215,66573
06-10-2015,219,68655
07-10-2015,221,68980
08-10-2015,217,68791
09-10-2015,217,68791
10-10-2015,217,69032
11-10-2015,219,69763
12-10-2015,219,70015
13-10-2015,219,70015
14-10-2015,219,70012
15-10-2015,219,70012
16-10-2015,219,69880
17-10-2015,219,69880
18-10-2015,219,69845
19-10-2015,221,70304
20-10-2015,221,70623
21-10-2015,223,70626
22-10-2015,223,68349
23-10-2015,223,68349
24-10-2015,223,68349
25-10-2015,223,68349
26-10-2015,223,68349
27-10-2015,223,68349
28-10-2015,223,68349
29-10-2015,223,68349
30-10-2015,223,68344
31-10-2015,223,68344
01-11-2015,223,68344
02-11-2015,223,70476
03-11-2015,223,70527
04-11-2015,223,70647
05-11-2015,223,70653
06-11-2015,223,70775
07-11-2015,225,71039
08-11-2015,225,71039
09-11-2015,225,71039
10-11-2015,221,69938
11-11-2015,221,69938
12-11-2015,221,70168
13-11-2015,221,70168
14-11-2015,221,70168
15-11-2015,221,70168
16-11-2015,221,70168
17-11-2015,221,70168
18-11-2015,221,70168
19-11-2015,221,70176
20-11-2015,219,70201
21-11-2015,219,70201
22-11-2015,219,70201
23-11-2015,219,70201
24-11-2015,225,71018
25-11-2015,223,70131
26-11-2015,225,71315
27-11-2015,225,71315
28-11-2015,225,71315
29-11-2015,225,71315
30-11-2015,225,71315
01-12-2015,225,71315
02-12-2015,225,71997
03-12-2015,227,72237
04-12-2015,227,72769
05-12-2015,228,72452
06-12-2015,228,72812
07-12-2015,228,72812
08-12-2015,228,73734
09-12-2015,228,74088
10-12-2015,228,72351
